"Standard Report - Exports"
"Current date: 04/18/2024 1:10 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"Andorra","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2014","64"
"Angola","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2017","1,472"
"Angola","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2022","2,172"
"Angola","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2023","1,450"
"Angola","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2001","348"
"Angola","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2004","409"
"Angola","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2012","36"
"Anguilla","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2019","730"
"Anguilla","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1998","1"
"Antigua and Barbuda","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1995","27"
"Antigua and Barbuda","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2002","383"
"Antigua and Barbuda","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2000","550"
"Antigua and Barbuda","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2004","24"
"Antigua and Barbuda","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2022","29"
"Antigua and Barbuda","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1997","44"
"Antigua and Barbuda","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2002","19"
"Antigua and Barbuda","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2021","22"
"Antigua and Barbuda","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1999","20"
"Antigua and Barbuda","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2009","39"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1995","11,978"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1996","4,312"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1997","411"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1999","473"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2000","997"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2001","1,268"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2002","6,604"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2003","1,735"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2004","3,752"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2005","13,563"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2006","11,722"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2007","32,263"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2008","12,599"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2009","15,723"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2010","23,356"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2011","9,127"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2012","7,552"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2013","11,640"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2014","19,166"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2015","15,416"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2016","12,627"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2017","2,679"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2018","6,793"
"Argentina","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2019","26,987"
